index,latitude,longitude,elevation_m
25,35.6452,-117.667931,0.0
26,35.645272,-117.667929,0.0
27,35.645344,-117.667928,0.0
28,35.645416,-117.667927,0.0
29,35.645488,-117.667926,0.0
30,35.645561,-117.667924,0.0
31,35.645633,-117.667923,0.0
32,35.645705,-117.667922,0.0
33,35.645777,-117.667921,0.0
34,35.645849,-117.66792,0.0
35,35.645921,-117.667918,0.0
36,35.645993,-117.667917,0.0
37,35.646065,-117.667916,0.0
38,35.646138,-117.667915,0.0
39,35.64621,-117.667914,0.0
40,35.646282,-117.667912,0.0
41,35.646354,-117.667911,0.0
42,35.646426,-117.66791,0.0
43,35.646498,-117.667909,0.0
44,35.64657,-117.667907,0.0
45,35.646642,-117.667906,0.0
46,35.646715,-117.667905,0.0
47,35.646787,-117.667904,0.0
48,35.646859,-117.667903,0.0
49,35.646931,-117.667901,0.0
50,35.647003,-117.6679,0.0
51,35.647075,-117.667899,0.0
52,35.647147,-117.667898,0.0
53,35.647219,-117.667897,0.0
54,35.647292,-117.667895,0.0
55,35.647364,-117.667894,0.0
56,35.647436,-117.667893,0.0
57,35.647508,-117.667892,0.0
58,35.64758,-117.66789,0.0
59,35.647652,-117.667889,0.0
60,35.647724,-117.667888,0.0
61,35.647796,-117.667887,0.0
62,35.647869,-117.667886,0.0
63,35.647941,-117.667884,0.0
64,35.648013,-117.667883,0.0
65,35.648006,-117.667959,90.0
66,35.64801,-117.668048,90.0
67,35.648014,-117.668136,90.0
68,35.648018,-117.668224,90.0
69,35.648022,-117.668312,90.0
70,35.648026,-117.668401,90.0
71,35.64803,-117.668489,90.0
72,35.648034,-117.668577,90.0
73,35.648038,-117.668665,90.0
74,35.648042,-117.668753,90.0
75,35.648046,-117.668842,90.0
76,35.64805,-117.66893,90.0
77,35.648054,-117.669018,90.0
78,35.648058,-117.669106,90.0
79,35.648062,-117.669195,90.0
80,35.648066,-117.669283,90.0
81,35.64807,-117.669371,90.0
82,35.648074,-117.669459,90.0
83,35.648078,-117.669548,90.0
90,35.648082,-117.669636,0.0
91,35.648135,-117.669612,0.0
92,35.648207,-117.66961,0.0
93,35.648279,-117.669608,0.0
94,35.648351,-117.669606,0.0
95,35.648423,-117.669605,0.0
96,35.648495,-117.669603,0.0
97,35.648567,-117.669601,0.0
98,35.64864,-117.669599,0.0
99,35.648712,-117.669597,0.0
100,35.648784,-117.669595,0.0
101,35.648856,-117.669593,0.0
102,35.648928,-117.669591,0.0
103,35.649,-117.669589,0.0
104,35.649072,-117.669587,0.0
105,35.649144,-117.669585,0.0
106,35.649216,-117.669583,0.0
107,35.649289,-117.669581,0.0
108,35.649361,-117.669579,0.0
109,35.649433,-117.669577,0.0
110,35.649505,-117.669575,0.0
111,35.649577,-117.669573,0.0
112,35.649649,-117.669571,0.0
113,35.649721,-117.669569,0.0
114,35.649793,-117.669567,0.0
115,35.649865,-117.669565,0.0
116,35.649938,-117.669563,0.0
117,35.65001,-117.669561,0.0
118,35.650082,-117.669559,0.0
119,35.650154,-117.669557,0.0
120,35.650226,-117.669555,0.0
121,35.650298,-117.669553,0.0
122,35.65037,-117.669551,0.0
123,35.650442,-117.669549,0.0
124,35.650514,-117.669547,0.0
125,35.650586,-117.669545,0.0
126,35.650659,-117.669543,0.0
127,35.650731,-117.669541,0.0
128,35.650803,-117.669539,0.0
129,35.650875,-117.669537,0.0
130,35.650947,-117.669535,0.0
131,35.651019,-117.669533,0.0
132,35.651091,-117.669531,0.0
133,35.651163,-117.66953,0.0
134,35.651235,-117.669528,0.0
135,35.651308,-117.669526,0.0
136,35.65138,-117.669524,0.0
137,35.651452,-117.669522,0.0
138,35.651524,-117.66952,0.0
139,35.651596,-117.669518,0.0
140,35.651668,-117.669516,0.0
141,35.65174,-117.669514,0.0
142,35.651812,-117.669512,0.0
148,35.651884,-117.66951,90.0
149,35.651837,-117.66954,90.0
150,35.651838,-117.669629,90.0
151,35.651839,-117.669717,90.0
152,35.651841,-117.669805,90.0
153,35.651842,-117.669894,90.0
154,35.651843,-117.669982,90.0
155,35.651844,-117.67007,90.0
156,35.651846,-117.670159,90.0
157,35.651847,-117.670247,90.0
158,35.651848,-117.670335,90.0
159,35.65185,-117.670424,90.0
160,35.651851,-117.670512,90.0
161,35.651852,-117.6706,90.0
162,35.651854,-117.670689,90.0
163,35.651855,-117.670777,90.0
164,35.651856,-117.670866,90.0
165,35.651858,-117.670954,90.0
166,35.651859,-117.671042,90.0
167,35.65186,-117.671131,90.0
168,35.651862,-117.671219,90.0
169,35.651863,-117.671307,90.0
170,35.651864,-117.671396,90.0
171,35.651866,-117.671484,90.0
172,35.651867,-117.671572,90.0
173,35.651868,-117.671661,90.0
174,35.65187,-117.671749,90.0
175,35.651871,-117.671837,90.0
176,35.651872,-117.671926,90.0
177,35.651874,-117.672014,90.0
178,35.651875,-117.672103,90.0
179,35.651876,-117.672191,90.0
180,35.651878,-117.672279,90.0
181,35.651879,-117.672368,90.0
182,35.65188,-117.672456,90.0
183,35.651882,-117.672544,90.0
184,35.651883,-117.672633,90.0
185,35.651884,-117.672721,90.0
186,35.651886,-117.672809,90.0
187,35.651887,-117.672898,90.0
188,35.651888,-117.672986,90.0
189,35.65189,-117.673074,90.0
190,35.651891,-117.673163,90.0
191,35.651892,-117.673251,90.0
192,35.651893,-117.67334,90.0
193,35.651895,-117.673428,90.0
194,35.651896,-117.673516,90.0
195,35.651897,-117.673605,90.0
196,35.651899,-117.673693,90.0
197,35.6519,-117.673781,90.0
198,35.651901,-117.67387,90.0
199,35.651903,-117.673958,90.0
200,35.651904,-117.674046,90.0
201,35.651905,-117.674135,90.0
202,35.651907,-117.674223,90.0
203,35.651908,-117.674311,90.0
204,35.651909,-117.6744,90.0
205,35.651911,-117.674488,90.0
206,35.651912,-117.674577,90.0
207,35.651913,-117.674665,90.0
208,35.651915,-117.674753,90.0
209,35.651916,-117.674842,90.0
210,35.651917,-117.67493,90.0
211,35.651919,-117.675018,90.0
